Input Virtual Memory address in decimal   Output Physical Memory address in decimal
16916                  20
62493                  285
30198                  630
53683                  819
40185                  1145
28781                  1389
24462                  1550
48399                  1807
64815                  2095
18295                  2423
12218                  2618
22760                  2920
57982                  3198
27966                  3390
54894                  3694
38929                  3857
32865                  4193
64243                  4467
2315                  4619
64454                  4934
55041                  5121
18633                  5449
14557                  5725
61006                  5966
62615                  279
7591                  6183
64747                  6507
6727                  6727
32315                  6971
60645                  7269
6308                  7460
45688                  7800
969                  8009
40891                  8251
49294                  8462
41118                  8734
21395                  8979
6091                  9291
32541                  9501
17665                  9729
3784                  10056
28718                  1326
59240                  10344
40178                  1138
60086                  10550
42252                  10764
44770                  11106
22514                  11378
3067                  11643
15757                  11789
31649                  12065
10842                  12378
43765                  12661
33405                  12925
44954                  13082
56657                  13393
5003                  13579
50227                  13875
19358                  14110
36529                  14385
10392                  14616
58882                  14850
5129                  15113
58554                  15418
58584                  15448
27444                  15668
58982                  14950
51476                  15892
6796                  6668
21311                  9023
30705                  16241
28964                  16420
41003                  8747
20259                  16675
57857                  3073
63258                  16922
36374                  14358
692                  17204
43121                  17521
48128                  17664
34561                  17921
49213                  8509
36922                  18234
59162                  10266
50552                  18552
17866                  9802
18145                  18785
3884                  18988
54388                  19316
42932                  19508
46919                  19783
58892                  14860
8620                  20012
38336                  20288
64357                  4965
23387                  20571
42632                  20744
15913                  21033
15679                  11839
22501                  11365
37540                  21284
5527                  21527
63921                  21809
62716                  380
32874                  4202
64390                  4870
63101                  22141
61802                  22378
19648                  22592
29031                  16487
44981                  13109
28092                  3388
9448                  22888
44744                  11080
61496                  23096
31453                  23389
60746                  23626
12199                  2599
62255                  23855
21793                  24097
26544                  24368
14964                  24692
41462                  24950
56089                  25113
52038                  25414
47982                  25710
59484                  25948
50924                  26220
6942                  26398
34998                  26678
27069                  26941
51926                  27222
60645                  7269
43181                  17453
10559                  27455
4664                  27704
28578                  27938
59516                  25980
38912                  3840
63562                  28234
64846                  2126
62938                  28506
27194                  28730
28804                  1284
61703                  22279
10998                  12406
6596                  28996
37721                  29273
43430                  29478
22692                  2852
62971                  28539
47125                  29717
52521                  29993
34646                  18006
32889                  4217
13055                  30335
65416                  30472
62869                  28437
57314                  30818
12659                  31091
14052                  31332
32956                  4156
49273                  8569
50352                  13872
49737                  31561
15555                  31811
47475                  32115
15328                  32352
34621                  17981
51365                  32549
32820                  4148
48855                  32855
12224                  2624
2035                  33139
60539                  7291
14595                  33283
13853                  31261
24143                  33615
15216                  32368
8113                  33841
22640                  2928
32978                  4178
39151                  3951
19520                  22592
58141                  34077
63959                  21847
53040                  34352
55842                  34594
585                  17225
51229                  32541
64181                  4405
54879                  3679
28210                  34866
10268                  14620
15395                  31779
12884                  30292
2149                  35173
53483                  35435
59606                  25942
14981                  24581
36672                  35648
23197                  35869
36518                  14374
13361                  36145
19810                  36450
25955                  36707
62678                  342
26021                  36645
29409                  36961
38111                  37215
58573                  15437
56840                  37384
41306                  24922
54426                  19226
3617                  10017
50652                  18524
41452                  24940
20241                  16657
31723                  12139
53747                  883
28550                  27910
23402                  20586
21205                  37717
56181                  25205
57470                  38014
39933                  38269
34964                  26644
24781                  38477
41747                  38675
62564                  356
58461                  15453
20858                  39034
49301                  8469
40572                  39292
23840                  39456
35278                  39758
62905                  28473
56650                  13386
11149                  39949
38920                  3848
23430                  20486
57592                  38008
3080                  40200
6677                  6677
50704                  26128
51883                  27179
62799                  28495
20188                  40540
1245                  40797
12220                  2620
17602                  41026
28609                  27969
42694                  20806
29826                  41218
13827                  31235
27336                  28744
53343                  35423
11533                  41485
41713                  41841
33890                  42082
4894                  13598
57599                  38015
3870                  18974
58622                  15486
29780                  41300
62553                  345
2303                  35199
51915                  27211
6251                  7531
38107                  37211
59325                  10301
61295                  42351
26699                  42571
51188                  42868
59519                  25983
7345                  43057
20325                  16741
39633                  43345
1562                  43546
7580                  6172
8170                  33898
62256                  23856
35823                  43887
27790                  44046
13191                  44295
9772                  44588
7477                  6197
44455                  44839
59546                  25882
49347                  8515
36539                  14395
12453                  45093
49640                  45416
28290                  34818
44817                  13073
8565                  20085
16399                  45583
41934                  38734
45457                  45841
33856                  42048
19498                  22570
17661                  41085
